"","Gen","ID","Path_name","pvalue"
"45","CDK1","R-HSA-174143","APC/C-mediated degradation of cell cycle proteins",0.0126616618540238
"46","CDK1","R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition",0.0129421158614564
"47","CDK1","R-HSA-380320","Recruitment of NuMA to mitotic centrosomes",0.0136430765922135
"48","CDK1","R-HSA-5620912","Anchoring of the basal body to the plasma membrane",0.0139233911693867
"49","CDK1","R-HSA-5687128","MAPK6/MAPK4 signaling",0.0149041784714091
"50","CDK1","R-HSA-2500257","Resolution of Sister Chromatid Cohesion",0.0188224476204213
"51","CDK1","R-HSA-68875","Mitotic Prophase",0.0189622413944031
"52","CDK1","R-HSA-8878166","Transcriptional regulation by RUNX2",0.0206389898564535
"53","CDK1","R-HSA-69481","G2/M Checkpoints",0.0216164308322512
"54","CDK1","R-HSA-5633007","Regulation of TP53 Activity",0.0249639521738076
"55","CDK1","R-HSA-68877","Mitotic Prometaphase",0.0290012200695459
"56","CDK1","R-HSA-5617833","Cilium Assembly",0.029140286814318
"57","CDK1","R-HSA-69275","G2/M Transition",0.0296964542003643
"58","CDK1","R-HSA-453274","Mitotic G2-G2/M phases",0.0299744781375619
"59","CDK1","R-HSA-69620","Cell Cycle Checkpoints",0.038988569711502
"60","CDK1","R-HSA-5684996","MAPK1/MAPK3 signaling",0.0392652591019313
"61","CDK1","R-HSA-5688426","Deubiquitination",0.0402333582503507
"62","CDK1","R-HSA-5683057","MAPK family signaling cascades",0.0463073785581987
"63","CDK1","R-HSA-1852241","Organelle biogenesis and maintenance",0.046720814175512
"64","CDK1","R-HSA-68886","M Phase",0.0542845820693254
"65","CDK1","R-HSA-3700989","Transcriptional Regulation by TP53",0.0672783120250119
"66","CDK1","R-HSA-212436","Generic Transcription Pathway",0.203521529309329
"67","CDK1","R-HSA-597592","Post-translational protein modification",0.212314001465641
"68","CDK1","R-HSA-73857","RNA Polymerase II Transcription",0.220933107033375
"69","CDK1","R-HSA-74160","Gene expression (Transcription)",0.240491009434793
"70","CDK1","R-HSA-392499","Metabolism of proteins",0.304751647295065
"71","CDK1","R-HSA-162582","Signal Transduction",0.401945368824184
"72","CDK1","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",1.99186084826053e-06
"73","CDK1","R-HSA-1538133","G0 and Early G1",7.19061766218942e-06
"74","CDK1","R-HSA-69205","G1/S-Specific Transcription",9.20737677101435e-06
"75","CDK1","R-HSA-69206","G1/S Transition",0.000112042172713656
"76","CDK1","R-HSA-453279","Mitotic G1-G1/S phases",0.000149036008317616
"77","CDK1","R-HSA-170145","Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes",0.000705542010708049
"78","CDK1","R-HSA-69478","G2/M DNA replication checkpoint",0.000987689099861577
"79","CDK1","R-HSA-176417","Phosphorylation of Emi1",0.00112874770548199
"80","CDK1","R-HSA-113507","E2F-enabled inhibition of pre-replication complex formation",0.00126979635179825
"81","CDK1","R-HSA-2980767","Activation of NIMA Kinases NEK9, NEK6, NEK7",0.00126979635179825
"82","CDK1","R-HSA-69278","Cell Cycle, Mitotic",0.00161788897398507
"83","CDK1","R-HSA-2465910","MASTL Facilitates Mitotic Progression",0.0016928825349215
"84","CDK1","R-HSA-110056","MAPK3 (ERK1) activation",0.00183389134402068
"85","CDK1","R-HSA-2514853","Condensation of Prometaphase Chromosomes",0.00211587908430633
"86","CDK1","R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",0.00211587908430633
"87","CDK1","R-HSA-1640170","Cell Cycle",0.00231615571294497
"88","CDK1","R-HSA-162658","Golgi Cisternae Pericentriolar Stack Reorganization",0.00239782698737512
"89","CDK1","R-HSA-176412","Phosphorylation of the APC/C",0.00267973505322683
"90","CDK1","R-HSA-6804114","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",0.00296160328186168
"91","CDK1","R-HSA-113510","E2F mediated regulation of DNA replication",0.00310252245722265
"92","CDK1","R-HSA-174048","APC/C:Cdc20 mediated degradation of Cyclin B",0.00324343167327945
"93","CDK1","R-HSA-4419969","Depolymerisation of the Nuclear Lamina",0.00324343167327945
"94","CDK1","R-HSA-112409","RAF-independent MAPK1/3 activation",0.00394782836399976
"95","CDK1","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition",0.00451116644909999
"96","CDK1","R-HSA-3301854","Nuclear Pore Complex (NPC) Disassembly",0.00591881451055287
"97","CDK1","R-HSA-5689896","Ovarian tumor domain proteases",0.00605952454052483
"98","CDK1","R-HSA-6804757","Regulation of TP53 Degradation",0.00605952454052483
"99","CDK1","R-HSA-6806003","Regulation of TP53 Expression and Degradation",0.0064815948746153
"100","CDK1","R-HSA-2299718","Condensation of Prophase Chromosomes",0.0077472680744578
"101","CDK1","R-HSA-2980766","Nuclear Envelope Breakdown",0.00915262549593532
"102","CDK1","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes",0.00915262549593532
"103","CDK1","R-HSA-380284","Loss of proteins required for interphase microtubule organization from the centrosome",0.00999536190221839
"104","CDK1","R-HSA-380259","Loss of Nlp from mitotic centrosomes",0.00999536190221839
"105","CDK1","R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A",0.0101357831123674
"106","CDK1","R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.0102761943632121
"107","CDK1","R-HSA-8854518","AURKA Activation by TPX2",0.0104165956547526
"108","CDK1","R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins",0.0105569869869889
"109","CDK1","R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.0106973683599209
"110","CDK1","R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes",0.0113991258350173
"111","CDK1","R-HSA-69473","G2/M DNA damage checkpoint",0.0113991258350173
"112","CDK1","R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase",0.0115394474521239
"113","CDK1","R-HSA-380287","Centrosome maturation",0.0116797591099261
"114","CDK1","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint",0.0116797591099261
"115","CDK1","R-HSA-453276","Regulation of mitotic cell cycle",0.0126616618540238
"116","CDK1","R-HSA-174143","APC/C-mediated degradation of cell cycle proteins",0.0126616618540238
"117","CDK1","R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition",0.0129421158614564
"118","CDK1","R-HSA-380320","Recruitment of NuMA to mitotic centrosomes",0.0136430765922135
"119","CDK1","R-HSA-5620912","Anchoring of the basal body to the plasma membrane",0.0139233911693867
"120","CDK1","R-HSA-5687128","MAPK6/MAPK4 signaling",0.0149041784714091
"121","CDK1","R-HSA-2500257","Resolution of Sister Chromatid Cohesion",0.0188224476204213
"122","CDK1","R-HSA-68875","Mitotic Prophase",0.0189622413944031
"123","CDK1","R-HSA-8878166","Transcriptional regulation by RUNX2",0.0206389898564535
"124","CDK1","R-HSA-69481","G2/M Checkpoints",0.0216164308322512
"125","CDK1","R-HSA-5633007","Regulation of TP53 Activity",0.0249639521738076
"126","CDK1","R-HSA-68877","Mitotic Prometaphase",0.0290012200695459
"127","CDK1","R-HSA-5617833","Cilium Assembly",0.029140286814318
"128","CDK1","R-HSA-69275","G2/M Transition",0.0296964542003643
"129","CDK1","R-HSA-453274","Mitotic G2-G2/M phases",0.0299744781375619
"130","CDK1","R-HSA-69620","Cell Cycle Checkpoints",0.038988569711502
"131","CDK1","R-HSA-5684996","MAPK1/MAPK3 signaling",0.0392652591019313
"132","CDK1","R-HSA-5688426","Deubiquitination",0.0402333582503507
"133","CDK1","R-HSA-5683057","MAPK family signaling cascades",0.0463073785581987
"134","CDK1","R-HSA-1852241","Organelle biogenesis and maintenance",0.046720814175512
"135","CDK1","R-HSA-68886","M Phase",0.0542845820693254
"136","CDK1","R-HSA-3700989","Transcriptional Regulation by TP53",0.0672783120250119
"137","CDK1","R-HSA-212436","Generic Transcription Pathway",0.203521529309329
"138","CDK1","R-HSA-597592","Post-translational protein modification",0.212314001465641
"139","CDK1","R-HSA-73857","RNA Polymerase II Transcription",0.220933107033375
"140","CDK1","R-HSA-74160","Gene expression (Transcription)",0.240491009434793
"141","CDK1","R-HSA-392499","Metabolism of proteins",0.304751647295065
"142","CDK1","R-HSA-162582","Signal Transduction",0.401945368824184
"143","OR3A1","R-HSA-381753","Olfactory Signaling Pathway",0.000929322597356119
"144","OR3A1","R-HSA-418555","G alpha (s) signalling events",0.001822677167445
"145","OR3A1","R-HSA-388396","GPCR downstream signalling",0.00918329517334615
"146","OR3A1","R-HSA-372790","Signaling by GPCR",0.0108338556448946
"147","OR3A1","R-HSA-162582","Signal Transduction",0.0513747920677787
"148","STEAP3","R-HSA-6803204","TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",5.42284115934155e-06
"149","STEAP3","R-HSA-5633008","TP53 Regulates Transcription of Cell Death Genes",3.43048234588972e-05
"150","STEAP3","R-HSA-3700989","Transcriptional Regulation by TP53",0.00117133867006969
"151","STEAP3","R-HSA-917977","Transferrin endocytosis and recycling",0.00549662466481149
"152","STEAP3","R-HSA-212436","Generic Transcription Pathway",0.0115656205036698
"153","STEAP3","R-HSA-917937","Iron uptake and transport",0.0116797591099261
"154","STEAP3","R-HSA-73857","RNA Polymerase II Transcription",0.0137715715355337
"155","STEAP3","R-HSA-74160","Gene expression (Transcription)",0.0165127305976681
"156","STEAP3","R-HSA-382551","Transport of small molecules",0.13181948356715
"157","OR3A1","R-HSA-381753","Olfactory Signaling Pathway",0.000929322597356119
"158","OR3A1","R-HSA-418555","G alpha (s) signalling events",0.001822677167445
"159","OR3A1","R-HSA-388396","GPCR downstream signalling",0.00918329517334615
"160","OR3A1","R-HSA-372790","Signaling by GPCR",0.0108338556448946
"161","OR3A1","R-HSA-162582","Signal Transduction",0.0513747920677787
"162","NCOR2","R-HSA-9022537","Loss of MECP2 binding ability to the NCoR/SMRT complex",0.000564533201608874
"163","NCOR2","R-HSA-9005895","Pervasive developmental disorders",0.00112906640321786
"164","NCOR2","R-HSA-9005891","Loss of function of MECP2 in Rett syndrome",0.00112906640321786
"165","NCOR2","R-HSA-2173795","Downregulation of SMAD2/3:SMAD4 transcriptional activity",0.00190529955543006
"166","NCOR2","R-HSA-350054","Notch-HLH transcription pathway",0.00197586620563117
"167","NCOR2","R-HSA-9022692","Regulation of MECP2 expression and activity",0.00275209935784348
"168","NCOR2","R-HSA-3899300","SUMOylation of transcription cofactors",0.00310493260884903
"169","NCOR2","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",0.00388116576106134
"170","NCOR2","R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription",0.00395173241126245
"171","NCOR2","R-HSA-3214815","HDACs deacetylate histones",0.00444569896267022
"172","NCOR2","R-HSA-2644606","Constitutive Signaling by NOTCH1 PEST Domain Mutants",0.00479853221367577
"173","NCOR2","R-HSA-2644602","Signaling by NOTCH1 PEST Domain Mutants in Cancer",0.00479853221367577
"174","NCOR2","R-HSA-2894862","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",0.00479853221367577
"175","NCOR2","R-HSA-2894858","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",0.00479853221367577
"176","NCOR2","R-HSA-2644603","Signaling by NOTCH1 in Cancer",0.00479853221367577
"177","NCOR2","R-HSA-1980143","Signaling by NOTCH1",0.00585703196669252
"178","NCOR2","R-HSA-170834","Signaling by TGF-beta Receptor Complex",0.00599816526709473
"179","NCOR2","R-HSA-383280","Nuclear Receptor transcription pathway",0.00606873191729584
"180","NCOR2","R-HSA-8986944","Transcriptional Regulation by MECP2",0.00705666502011149
"181","NCOR2","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation",0.00762119822172036
"182","NCOR2","R-HSA-9006936","Signaling by TGF-beta family members",0.00804459812292713
"183","NCOR2","R-HSA-1989781","PPARA activates gene expression",0.012278597134994
"184","NCOR2","R-HSA-400206","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",0.0124197304353962
"185","NCOR2","R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins",0.012913696986804
"186","NCOR2","R-HSA-2990846","SUMOylation",0.0135487968386141
"187","NCOR2","R-HSA-4839726","Chromatin organization",0.0180650624514854
"188","NCOR2","R-HSA-3247509","Chromatin modifying enzymes",0.0180650624514854
"189","NCOR2","R-HSA-157118","Signaling by NOTCH",0.0181356291016865
"190","NCOR2","R-HSA-5663202","Diseases of signal transduction",0.0345070919483452
"191","NCOR2","R-HSA-1266738","Developmental Biology",0.0851033801425446
"192","NCOR2","R-HSA-556833","Metabolism of lipids",0.10189824289041
"193","NCOR2","R-HSA-212436","Generic Transcription Pathway",0.107543574906499
"194","NCOR2","R-HSA-1643685","Disease",0.109731141062734
"195","NCOR2","R-HSA-597592","Post-translational protein modification",0.112483240420577
"196","NCOR2","R-HSA-73857","RNA Polymerase II Transcription",0.117352339284454
"197","NCOR2","R-HSA-74160","Gene expression (Transcription)",0.12850187001623
"198","NCOR2","R-HSA-392499","Metabolism of proteins",0.166184461223626
"199","NCOR2","R-HSA-162582","Signal Transduction",0.226660080445981
"200","NCOR2","R-HSA-1430728","Metabolism",0.256792040081857
